question,intent
Hello,greeting
Hi,greeting
Good morning,greeting
Good afternoon,greeting
Hey there,greeting
Hey,greeting
Hello there,greeting
Good evening,greeting
Nice to meet you,greeting
Greetings,greeting
Yo chatbot,greeting
Hey yo,greeting
Yo assistant,greeting
Hi can you assist me?,greeting
Hello can you help me?,greeting
Hi there assistant,greeting
Greetings assistant,greeting
Hello chatbot,greeting
Hey can you assist me?,greeting
Good day assistant,greeting
Hi TARUMT assistant,greeting
"Hello, I need some help",greeting
Hey can I ask something?,greeting
Good morning chatbot,greeting
Hi I have a question,greeting
"Hello there, can I ask about TARUMT?",greeting
"Hey assistant, are you there?",greeting
"Good evening, I need assistance",greeting
"Hi, could you guide me?",greeting
"Hello, I need information",greeting
"Hi, I need to ask about TARUMT",greeting
"Hello, can I get some student information?",greeting
"Hey, I have a university question",greeting
"Good morning, can you assist me with something?",greeting
Hello TARUMT chatbot,greeting
"Hello, I would like some TARUMT guidance",greeting
"Hi assistant, I have something to ask",greeting
"Hey, can you help with a student question?",greeting
How do I apply for a programme?,admission
Where can I submit my application?,admission
What are the admission requirements?,admission
When is the application deadline?,admission
How can I check my application status?,admission
How can I apply to TARUMT?,admission
What documents are needed for admission?,admission
Can I apply online?,admission
How do I know whether my application was accepted?,admission
Who can I contact about admission?,admission
I want to join TARUMT,admission
How can I become a TARUMT student?,admission
I am interested in studying at TARUMT,admission
How do I enrol at TARUMT?,admission
Can I study at TARUMT?,admission
I am interested in becoming a TARUMT student,admission
I would like to enrol at this university,admission
How can I begin studying at TARUMT?,admission
I want to apply to study here,admission
What should I do to become a student here?,admission
Where do I start my TARUMT application?,admission
What qualifications do I need to enter TARUMT?,admission
I cannot find where to apply for admission,admission
How do new students register for a programme?,admission
Is the TARUMT application still open?,admission
Where can I upload my admission documents?,admission
What should I prepare before applying to TARUMT?,admission
Can I check whether TARUMT received my application?,admission
"My application is still pending, where can I check it?",admission
How will I know if I received an offer?,admission
Where can I find the entry requirements for a programme?,admission
I want to apply for the next intake,admission
Can I submit my application through the website?,admission
Where can prospective students get admission information?,admission
application status,admission
TARUMT entry requirement,admission
I submitted my application but have not received an update,admission
Which documents should I upload when applying?,admission
How do I accept an admission offer?,admission
Can I apply to more than one programme?,admission
Where can I check the entry requirements for a specific TARUMT programme?,admission
"I already chose a programme, how do I start the application?",admission
Can I still submit an application after receiving my examination results?,admission
Where should I send additional documents for my application?,admission
"My application status has not changed, what should I check?",admission
How can I know whether my application is complete?,admission
What happens after I submit my TARUMT application?,admission
Can I edit my application after submitting it?,admission
Where can I find information about the next student intake?,admission
"I received an offer, what is the next admission step?",admission
Do I need to upload certificates when applying?,admission
How do I check if my application documents are accepted?,admission
Can an international applicant apply through the same online system?,admission
Where can I find the application procedure for new students?,admission
I want to apply but I am not sure which documents are compulsory,admission
"I meet the programme requirements, where do I submit my application?",admission
Can I check the intake date before applying?,admission
Where can I see whether my application is complete or missing documents?,admission
What should I do if the admission portal shows my application as incomplete?,admission
Can I submit updated academic results after applying?,admission
How do I know if I have fulfilled all admission requirements?,admission
Where can I check the status of a conditional offer?,admission
"I received an admission email, where can I confirm it in the system?",admission
Can I apply first and upload some supporting documents later?,admission
Where can I find the official admission steps for new students?,admission
Where can I check my class timetable?,timetable
When will the timetable be released?,timetable
How do I view my tutorial schedule?,timetable
Where can I see my lecture time?,timetable
How can I check my weekly class schedule?,timetable
Where can I find my class schedule?,timetable
What time is my tutorial class?,timetable
How do I check my lecture timetable?,timetable
Where can I see my weekly timetable?,timetable
Has the class timetable been released?,timetable
How can I know my timetable for today?,timetable
Where can I check today's classes?,timetable
What classes do I have today?,timetable
Do I have any class today?,timetable
What is my schedule today?,timetable
What lessons are scheduled for today?,timetable
Which lessons do I have later?,timetable
What classes are scheduled this afternoon?,timetable
Can I see today's lesson schedule?,timetable
Do I have lessons later today?,timetable
Where is my class timetable in the student portal?,timetable
I cannot see my timetable,timetable
My class schedule is missing,timetable
What lecture do I have tomorrow morning?,timetable
Do I have a tutorial tomorrow?,timetable
Which class comes next?,timetable
Where is my weekly lesson schedule?,timetable
